perez,baldry,muzzin,li,santini,caputi,duncan,lee,fontana,drory,march,mous,cole
1,1,0,1,0,0,0,0,0,0,0,1,1
1,1,0,1,0,0,0,0,0,0,0,1,1
1,0,0,1,0,0,0,0,0,0,0,1,0
1,0,0,1,0,0,0,0,0,0,0,1,0
1,0,1,1,0,0,0,0,0,1,0,1,0
1,0,1,1,0,0,0,0,0,1,0,1,0
1,0,1,1,0,0,0,0,0,1,0,1,0
1,0,1,1,0,0,0,0,1,1,0,1,0
1,0,1,1,0,0,0,0,1,1,0,1,0
1,0,1,0,0,0,0,0,1,1,0,1,0
1,0,1,0,1,0,0,0,1,1,0,1,0
1,0,1,0,1,0,0,0,1,1,0,1,0
1,0,1,0,1,0,0,0,1,1,0,1,0
1,0,1,0,1,0,0,0,1,1,0,1,0
1,0,1,0,1,0,0,0,1,1,0,1,0
1,0,1,0,1,0,0,0,1,0,0,0,0
1,0,1,0,1,0,0,0,1,0,0,0,0
1,0,1,0,1,0,0,0,1,0,0,0,0
1,0,1,0,1,0,0,0,1,0,1,0,0
1,0,1,0,1,0,0,0,1,0,1,0,0
1,0,1,0,1,0,0,0,1,0,1,0,0
1,0,1,0,1,0,0,0,1,0,1,0,0
1,0,1,0,1,0,0,0,1,0,1,0,0
1,0,1,0,1,0,0,0,1,0,1,0,0
1,0,1,0,1,0,0,0,1,0,1,0,0
1,0,1,0,1,0,0,0,1,0,1,0,0
1,0,1,0,1,0,0,0,1,0,1,0,0
1,0,1,0,1,0,0,0,1,0,1,0,0
1,0,1,0,1,0,0,0,1,0,1,0,0
1,0,1,0,1,1,0,0,1,0,1,0,0
1,0,1,0,1,1,0,0,1,0,1,0,0
1,0,1,0,1,1,0,0,1,0,1,0,0
0,0,1,0,1,1,0,0,1,0,1,0,0
0,0,0,0,1,1,1,1,0,0,0,0,0
0,0,0,0,1,1,1,1,0,0,0,0,0
