z_low,z_hi,fontana_comp_m,fontana_comp_dndlogm,muzzin_m,muzzin_dndlogm,santini_m,santini_dndlogm,march_m,march_dndlogm,san_fr_lee_m,san_fr_lee_dndlogm,caputi_m,caputi_dndlogm,fontana_inc_m,fontana_inc_dndlogm,li_m,li_dndlogm,perez_m,perez_dndlogm,cole_m,cole_dndlogm,baldry_comp_m,baldry_comp_dndlogm,baldry_inc_m,baldry_inc_dndlogm,drory_m,drory_dndlogm,duncan_comp_m,duncan_comp_dndlogm,duncan_inc_m,duncan_inc_dndlogm,lee_m,lee_dndlogm,mous_m,mous_dndlogm
0,0.2,,,,,,,,,,,,,,,,,8.6068126521,-1.4801917576,,,,,,,,,,,,,,,,
0,0.2,,,,,,,,,,,,,,,,,8.800973236,-1.6113812666,,,,,,,,,,,,,,,,
0,0.2,,,,,,,,,,,,,,,,,8.999756691,-1.7061792494,,,,,,,,,,,,,,,,
0,0.2,,,,,,,,,,,,,,,,,9.1892944039,-1.7787508089,,,,,,,,,,,,,,,,
0,0.2,,,,,,,,,,,,,,,,,9.3996350365,-1.8108706712,,,,,,,,,,,,,,,,
0,0.2,,,,,,,,,,,,,,,,,9.600729927,-1.8248070666,,,,,,,,,,,,,,,,
0,0.2,,,,,,,,,,,,,,,,,9.7948905109,-1.8993951858,,,,,,,,,,,,,,,,
0,0.2,,,,,,,,,,,,,,,,,9.998296837,-1.9800379027,,,,,,,,,,,,,,,,
0,0.2,,,,,,,,,,,,,,,,,10.1947688564,-1.9414207832,,,,,,,,,,,,,,,,
0,0.2,,,,,,,,,,,,,,,,,10.395863747,-2.0523881324,,,,,,,,,,,,,,,,
0,0.2,,,,,,,,,,,,,,,,,10.5969586375,-2.126968874,,,,,,,,,,,,,,,,
0,0.2,,,,,,,,,,,,,,,,,10.7934306569,-2.1894256647,,,,,,,,,,,,,,,,
0,0.2,,,,,,,,,,,,,,,,,10.9899026764,-2.3206127145,,,,,,,,,,,,,,,,
0,0.2,,,,,,,,,,,,,,,,,11.1979318735,-2.5993553772,,,,,,,,,,,,,,,,
0,0.2,,,,,,,,,,,,,,,,,11.3897810219,-3.021640207,,,,,,,,,,,,,,,,
0,0.2,,,,,,,,,,,,,,,,,11.5931873479,-3.3367743958,,,,,,,,,,,,,,,,
0,0.2,,,,,,,,,,,,,,,,,11.803520352,-4.0302832564,,,,,,,,,,,,,,,,
0.001,0.5,,,,,,,,,,,,,,,12.1445676905,-7.9131485818,,,,,,,,,,,,,,,,,,
0.001,0.5,,,,,,,,,,,,,,,12.038037419,-7.7904030812,,,,,,,,,,,,,,,,,,
0.001,0.5,,,,,,,,,,,,,,,11.938507068,-6.7092604612,,,,,,,,,,,,,,,,,,
0.001,0.5,,,,,,,,,,,,,,,11.8463988116,-6.2186111677,,,,,,,,,,,,,,,,,,
0.001,0.5,,,,,,,,,,,,,,,11.7493866491,-5.4963048156,,,,,,,,,,,,,,,,,,
0.001,0.5,,,,,,,,,,,,,,,11.6475807668,-4.946597269,,,,,,,,,,,,,,,,,,
0.001,0.5,,,,,,,,,,,,,,,11.5506354589,-4.4695697558,,,,,,,,,,,,,,,,,,
0.001,0.5,,,,,,,,,,,,,,,11.451290815,-4.069757244,,,,,,,,,,,,,,,,,,
0.001,0.5,,,,,,,,,,,,,,,11.3519659798,-3.7426199437,,,,,,,,,,,,,,,,,,
0.001,0.5,,,,,,,,,,,,,,,11.2526473349,-3.438193647,,,,,,,,,,,,,,,,,,
0.001,0.5,,,,,,,,,,,,,,,11.1533435466,-3.188273759,,,,,,,,,,,,,,,,,,
0.001,0.5,,,,,,,,,,,,,,,11.0540496626,-2.9746914768,,,,,,,,,,,,,,,,,,
0.001,0.5,,,,,,,,,,,,,,,10.9571811137,-2.7792804084,,,,,,,,,,,,,,,,,,
0.001,0.5,,,,,,,,,,,,,,,10.8579020863,-2.6202045348,,,,,,,,,,,,,,,,,,
0.001,0.5,,,,,,,,,,,,,,,10.7586329633,-2.497466267,,,,,,,,,,,,,,,,,,
0.001,0.5,,,,,,,,,,,,,,,10.6593712685,-2.4019812035,,,,,,,,,,,,,,,,,,
0.001,0.5,,,,,,,,,,,,,,,10.5576966193,-2.3337469334,,,,,,,,,,,,,,,,,,
0.001,0.5,,,,,,,,,,,,,,,10.4584423528,-2.2655150743,,,,,,,,,,,,,,,,,,
0.001,0.5,,,,,,,,,,,,,,,10.3591930386,-2.2154520181,,,,,,,,,,,,,,,,,,
0.001,0.5,,,,,,,,,,,,,,,10.2599449624,-2.1699311625,,,,,,,,,,,,,,,,,,
0.001,0.5,,,,,,,,,,,,,,,10.1607080286,-2.1652901135,,,,,,,,,,,,,,,,,,
0.001,0.5,,,,,,,,,,,,,,,10.0590544261,-2.1742732557,,,,,,,,,,,,,,,,,,
0.001,0.5,,,,,,,,,,,,,,,9.9573946334,-2.1605453943,,,,,,,,,,,,,,,,,,
0.001,0.5,,,,,,,,,,,,,,,9.8581552235,-2.1468199438,,,,,,,,,,,,,,,,,,
0.001,0.5,,,,,,,,,,,,,,,9.7613324824,-2.1194703021,,,,,,,,,,,,,,,,,,
0.001,0.5,,,,,,,,,,,,,,,9.6620943105,-2.1102870523,,,,,,,,,,,,,,,,,,
0.001,0.5,,,,,,,,,,,,,,,9.5580067067,-2.0693035756,,,,,,,,,,,,,,,,,,
0.001,0.5,,,,,,,,,,,,,,,9.4587648207,-2.0464937237,,,,,,,,,,,,,,,,,,
0.001,0.5,,,,,,,,,,,,,,,9.3595130304,-1.987346266,,,,,,,,,,,,,,,,,,
0.001,0.5,,,,,,,,,,,,,,,9.2578470475,-1.950907401,,,,,,,,,,,,,,,,,,
0.001,0.5,,,,,,,,,,,,,,,9.1585977332,-1.9008443447,,,,,,,,,,,,,,,,,,
0.001,0.5,,,,,,,,,,,,,,,9.061774992,-1.873494703,,,,,,,,,,,,,,,,,,
0.001,0.5,,,,,,,,,,,,,,,8.9601139613,-1.8552246409,,,,,,,,,,,,,,,,,,
0.001,0.5,,,,,,,,,,,,,,,8.8584529305,-1.8369545787,,,,,,,,,,,,,,,,,,
0.001,0.5,,,,,,,,,,,,,,,8.7567894237,-1.8096001151,,,,,,,,,,,,,,,,,,
0.001,0.5,,,,,,,,,,,,,,,8.6575512519,-1.8004168654,,,,,,,,,,,,,,,,,,
0.001,0.5,,,,,,,,,,,,,,,8.5607334629,-1.7912360265,,,,,,,,,,,,,,,,,,
0.001,0.5,,,,,,,,,,,,,,,8.459069956,-1.763881563,,,,,,,,,,,,,,,,,,
0.2,0.4,,,,,,,,,,,,,,,,,8.195819582,-1.6873826037,,,,,,,11.495058695,-3.8857657773,,,,,,,,
0.2,0.4,,,,,,,,,,,,,,,,,8.3922992299,-1.6797076743,,,,,,,11.2517265188,-3.1584337726,,,,,,,,
