z_low,z_hi,fon_comp_m,fon_comp_dNdlogm,muz_m,muz_dNdlogm,san_m,san_dNdlogm,mar_m,mar_dNdlogm,san_m_new,san_dNdlogm_new
3,4,11.5265456142,-4.9517389431,,,,,,,,
3,4,11.3291103214,-4.4591265033,,,,,,,,
3,4,11.1306992364,-4.4583133431,,,,,,,,
3,4,10.9334591021,-3.8673410475,,,,,,,,
3,4,10.7365117054,-3.128828968,,,,,,,,
2,3,11.6460640242,-4.9576112699,,,,,11.6266015042,-5.0740458015,,
2,3,11.4449993457,-4.1830301546,,,,,11.3433230989,-3.9519083969,,
2,3,11.243208558,-3.7667838854,,,,,11.0548970452,-3.5717557252,,
2,3,11.0451665196,-3.5005298064,,,,,10.7625326986,-3.406870229,,
2,3,10.8428522579,-3.3426179611,,,,,10.4670082533,-3.1183206107,,
2,3,10.6407575176,-3.0763723251,,,,,10.1805013943,-3.4022900763,,
2,3,10.4385952322,-2.8434601632,,,,,9.8895146616,-2.6374045802,,
2,2.5,,,11.7086983192,-5.350877193,,,,,,
2,2.5,,,11.6252975095,-5.1052631579,,,,,,
2,2.5,,,11.5200956938,-5.2514619883,,,,,,
2,2.5,,,11.4376518219,-4.5497076023,,,,,,
2,2.5,,,11.3421298,-4.081871345,,,,,,
2,2.5,,,11.2541651331,-4.0116959064,,,,,,
2,2.5,,,11.1580910318,-3.8070175439,,,,,,
2,2.5,,,11.0661881978,-3.6140350877,,,,,,
2,2.5,,,10.9698319225,-3.5438596491,,,,,,
2,2.5,,,10.8777205251,-3.4502923977,,,,,,
2,2.5,,,10.7940498098,-3.3333333333,,,,,,
2,2.5,,,10.6934363882,-3.2923976608,,,,,,
2,2.5,,,10.6011655012,-3.2748538012,,,,,,
2.5,3,,,11.7707258404,-5.4782608696,,,,,,
2.5,3,,,11.5794094654,-5.0492753623,,,,,,
2.5,3,,,11.396121234,-4.3594202899,,,,,,
2.5,3,,,11.2132298996,-4.052173913,,,,,,
2.5,3,,,11.0262553371,-3.8086956522,,,,,,
2.5,3,,,10.8516206627,-3.4608695652,,,,,,
1.8,2.5,,,,,11.4958839241,-3.8991863342,,,-3.4344804542,11.8056878441
1.8,2.5,,,,,11.2980342262,-3.2940010055,,,-2.8292951255,11.6078381462
1.8,2.5,,,,,11.1062427853,-2.9942169906,,,-2.5295111106,11.4160467053
1.8,2.5,,,,,10.9035228891,-2.9279440966,,,-2.4632382166,11.2133268091
1.8,2.5,,,,,10.7008535486,-2.8975994473,,,-2.4328935673,11.0106574686
1.8,2.5,,,,,10.5035768152,-2.6996008909,,,-2.2348950109,10.8133807352
1.8,2.5,,,,,10.2953463486,-2.7171493331,,,-2.2524434531,10.6051502686
1.8,2.5,,,,,10.0923568221,-2.4592591344,,,-1.9945532544,10.4021607421
1.8,2.5,,,,,9.900759178,-2.2972000573,,,-1.8324941773,10.210563098
1.8,2.5,,,,,9.6974747432,-1.8297284317,,,-1.3650225517,10.0072786632
1.8,2.5,,,,,9.50015588,-1.6017896715,,,-1.1370837915,9.8099598
